"","Mouse_ID","Address","Address_ZIP","Latitude","Longitude","Trap_Date","Dissection_Date","Sex","Status","Body_Weight","Body_Length","Tail_Length","Spleen","Feces_Weight","Dead_in_Cage","Worms_presence","Left_Embryo","Right_Embryo","Ectoparasites_Logical","Fleas","Ticks","Note","Area","Trap_set_date","Trap_set_time","Trap_number","Trap_collect_date","Trap_collect_time","Rodents_caught","Mus_caught","Feces_weight_Extraction","Feces_weight","hydrated","Extraction_Sample","Extraction_Date","FEC_DNA_Content_ng.microliter","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs","Task","Tm1","Tm2","Tm3","Tm4","FEC_Eim_Ct1","FEC_Eim_Ct2","FEC_Eim_Ct3","HI","HI_NLoci","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","FEC_Crypto_Ct","FEC_Crypto_Ct1","FEC_Crypto_Ct2","FEC_Crypto_Ct3","Oocyst_Predict_Crypto_FEC"
"943","AA_0984","Alt-Gielsdorf 67",NA,52.6053,13.8756,"20/09/2022","23/09/2022","M","adult",12.28,72,64,0.0424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0285,0.1912,FALSE,"FEC","24.09.2022",168.3,2022,23.95,TRUE,NA,NA,NA,NA,"UNKNOWN",74.9412841796875,NA,NA,NA,24.0805261873629,24.2041827466908,23.5532727146867,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"945","AA_0986","Bergschorfer Str. 1",NA,52.9572,13.2835,"20/09/2022","23/09/2022","F","adult",12.4,75,65,0.0271,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"ISI","20/09/2022","16:00",35,"21/09/2022","11:20",4,4,0.0257,0.229,FALSE,"FEC","24.09.2022",131.7,2022,21.25,TRUE,NA,NA,NA,NA,"UNKNOWN",74.790283203125,NA,NA,NA,21.1579673842912,21.0485983376389,21.5516496396062,NA,NA,NA,NA,NA,26.45,27.3009171356435,26.8798052401853,25.17972802126,71376
"946","AA_0987","Bergschorfer Str. 1",NA,52.9572,13.2835,"20/09/2022","23/09/2022","M","adult",16.86,80,82,0.0406,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,"ISI","20/09/2022","16:00",35,"21/09/2022","11:20",4,4,0.0228,0.2987,FALSE,"FEC","24.09.2022",126.3,2022,37.36,FALSE,NA,NA,NA,NA,"UNKNOWN",80.6794357299805,66.4850692749023,NA,NA,38.5519186465212,NA,36.1609327747835,NA,NA,NA,NA,NA,29.6,30.2070871798393,30.6367311277301,27.9643553392913,8454
"948","AA_0989","Bergschorfer Str. 1",NA,52.9572,13.2835,"20/09/2022","23/09/2022","M","young",8.65,63,70,0.0107,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI","20/09/2022","16:00",35,"21/09/2022","11:20",4,4,0.017,0.1894,FALSE,"FEC","24.09.2022",118.6,2022,36.99,FALSE,NA,NA,NA,NA,"UNKNOWN",82.514778137207,66.3415603637695,69.0622940063477,78.7359924316406,39.5663311794045,NA,34.4092492863729,NA,NA,NA,NA,NA,0,NA,NA,35.0472777006748,0
"949","AA_0990","Bradinger Str. 21/22",NA,52.9716,13.2767,"20/09/2022","23/09/2022","M","adult",15.09,82,81,0.0217,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,"ISI","20/09/2022","17:20",29,"21/09/2022",NA,1,1,0.0147,0.4041,FALSE,"FEC","24.09.2022",79.4,2022,0,FALSE,NA,NA,NA,NA,"UNKNOWN",66.4927139282227,77.5267791748047,85.8401107788086,92.4907836914062,NA,37.8990225257543,NA,NA,NA,NA,NA,NA,26.58,27.4168971968443,27.2122364060593,25.120550633068,65361
"950","AA_0991","Karl-Liebknecht-Str. 36C",NA,52.858474,13.955803,"21/09/2022","23/09/2022","F","adult",10.82,70,62,0.0162,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112,0.2546,FALSE,"FEC","24.09.2022",61.1,2022,38.82,FALSE,NA,NA,NA,NA,"UNKNOWN",72.6899261474609,81.6078643798828,74.3525924682617,NA,38.4098155083288,39.2381671357805,NA,NA,NA,NA,NA,NA,0,NA,37.7082320341981,NA,0
"951","AA_0992","Karl-Liebknecht-Str. 36C",NA,52.858474,13.955803,"21/09/2022","23/09/2022","M","adult",12.65,72,63,0.0209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172,0.1047,FALSE,"FEC","24.09.2022",92.7,2022,39.16,FALSE,NA,NA,NA,NA,"UNKNOWN",78.7359924316406,66.4927139282227,83.2705383300781,74.05029296875,39.1556640759648,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,36.7485224515631,0
"952","AA_0993","Neuendorf 31",NA,52.887936,14.06121,"21/09/2022","23/09/2022","F","adult",14.16,72,65,0.043,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161,0.15,FALSE,"FEC","24.09.2022",49.8,2022,37.94,FALSE,NA,NA,NA,NA,"UNKNOWN",81.0032653808594,68.9111404418945,90.9792633056641,93.8511428833008,37.9434985241475,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"953","AA_0994","Kerstenbruch 10",NA,52.7383,14.2625,"21/09/2022","23/09/2022","M","adult",16.67,83,74,0.0123,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE","21/09/2022","15:00",11,"22/09/2022","10:21",1,1,0.0088,0,FALSE,"FEC","24.09.2022",74,2022,0,FALSE,NA,NA,NA,NA,"UNKNOWN",66.4927139282227,81.4567184448242,64.2254409790039,90.3746566772461,NA,NA,NA,NA,NA,NA,NA,NA,30.42,31.2640202364379,30.3073865937741,29.677666645377,4852
"954","AA_0995","Münchenhofer Str. 1",NA,52.4978,13.6761,"21/09/2022","23/09/2022","M","adult",19.75,84,86,0.0876,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA","21/09/2022","12:40",12,"22/09/2022","11:20",1,1,0.0152,0.0647,FALSE,"FEC","24.09.2022",69.1,2022,33.28,FALSE,NA,NA,NA,NA,"UNKNOWN",76.1664123535156,NA,NA,NA,33.4423854812886,33.2525814371919,33.1368305302049,NA,NA,NA,NA,NA,32.15,33.394594800142,32.4876680187396,30.5555227722059,1503
"955","AA_0996","Langer Landweg",NA,52.6179,13.8776,"21/09/2022","23/09/2022","M","adult",13.55,75,65,0.0143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251,0.21,FALSE,"FEC","24.09.2022",122.9,2022,31.25,TRUE,NA,NA,NA,NA,"UNKNOWN",75.5545043945312,82.9574127197266,74.1947860717773,62.106273651123,31.5307501881893,31.5726789550234,30.6324351617018,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"956","AA_0997","Bunzelweg 9",NA,52.47347,13.69029,"21/09/2022","23/09/2022","F","pregnant",18.94,83,76,0.0749,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104,0.2503,FALSE,"FEC","24.09.2022",12.5,2022,31.82,TRUE,NA,NA,NA,NA,"UNKNOWN",75.4034271240234,80.9933700561523,82.3352279663086,NA,32.0194946938776,32.3388309655535,31.1048826096519,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"957","AA_0998","Bunzelweg 9",NA,52.47347,13.69029,"21/09/2022","23/09/2022","M","adult",16.33,78,79,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,0.1321,FALSE,"FEC","24.09.2022",24.5,2022,32.08,FALSE,NA,NA,NA,NA,"UNKNOWN",79.3314971923828,86.4322357177734,62.4081993103027,NA,32.4159258031243,32.420290910401,31.3941248652107,NA,NA,NA,NA,NA,34.52,35.1112216832907,33.9122530649246,34.5337050791941,302
"958","AA_0999","Bunzelweg 9",NA,52.47347,13.69029,"21/09/2022","23/09/2022","F","pregnant",16.32,80,81,0.023,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219,0,FALSE,"FEC","24.09.2022",11.5,2022,32.33,FALSE,NA,NA,NA,NA,"UNKNOWN",79.180419921875,72.2307510375977,83.2595672607422,62.7127342224121,32.8183816199018,33.2408934715429,30.9382129706268,NA,NA,NA,NA,NA,37.86,37.6505730458687,38.2010176144359,37.7162861128693,31
"959","AA_1000","Bunzelweg 9",NA,52.47347,13.69029,"21/09/2022","23/09/2022","F","young",10.35,71,69,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.07,FALSE,"FEC","24.09.2022",42.9,2022,31.92,FALSE,NA,NA,NA,NA,"UNKNOWN",83.41064453125,74.7991027832031,78.2739410400391,80.523681640625,32.724974961063,31.1750139310261,31.8549020592871,NA,NA,NA,NA,NA,36.49,36.0250162417115,35.0405195742788,38.4100204087967,79
"960","AA_1001","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",20.47,88,84,0.1447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124,0.1267,FALSE,"FEC","24.09.2022",24.8,2022,18.61,TRUE,NA,NA,NA,NA,"UNKNOWN",75.5545043945312,NA,NA,NA,19.8060048763141,18.9289888674597,17.0967754958739,NA,NA,NA,NA,NA,34.63,35.3833509019923,34.8954884876826,33.599447124468,280
"961","AA_1002","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",19.46,79,81,0.0704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192,0.124,FALSE,"FEC","24.09.2022",102.4,2022,26.53,TRUE,NA,NA,NA,NA,"UNKNOWN",75.8566665649414,NA,NA,NA,27.8403995823109,26.4600686045137,25.3018059149768,NA,NA,NA,NA,NA,32.53,32.4315655379019,33.0114109420574,32.1581582614259,1162
"962","AA_1003","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",20.6,87,68,0.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0464,0.0345,FALSE,"FEC","24.09.2022",205.9,2022,30.82,TRUE,NA,NA,NA,NA,"UNKNOWN",74.1947860717773,83.863883972168,63.014892578125,77.6553955078125,30.6661268584413,30.9645415386619,30.8239638304783,NA,NA,NA,NA,NA,32.93,33.151292782499,33.1549147855295,32.4950995267129,886
"963","AA_1004","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",17.72,81,77,0.0402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0363,0.0477,FALSE,"FEC","24.09.2022",61.3,2022,22.21,TRUE,NA,NA,NA,NA,"UNKNOWN",75.7055816650391,NA,NA,NA,23.1419639176194,22.0245411480359,21.4744806318942,NA,NA,NA,NA,NA,34.69,35.1109802021432,34.9460991876662,34.0098632745422,269
"966","AA_1007","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",18.16,81,79,0.0771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0177,0.0625,FALSE,"FEC","24.09.2022",89.3,2022,26.07,TRUE,NA,NA,NA,NA,"UNKNOWN",75.8566665649414,NA,NA,NA,26.6776924238348,25.9156133342884,25.6156464439437,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"967","AA_1008","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","young",8.22,57,71,0.0208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,0.458,FALSE,"FEC","24.09.2022",33.2,2022,30.17,FALSE,NA,NA,NA,NA,"UNKNOWN",78.7271728515625,72.0796737670898,62.561653137207,62.106273651123,30.6219163719774,30.0658834716752,29.8272980145254,NA,NA,NA,NA,NA,36.69,36.9256831614373,37.5581380391695,35.5743538248113,69
"968","AA_1009","Danewitzer Weg 2","DANE2",52.737079,13.659532,"22/09/2022","23/09/2022","F","adult",25.51,90,93,0.1495,NA,NA,TRUE,NA,NA,NA,TRUE,NA,"Mastophorus in Stomach (1.5 g), Tapeworm, Pinworm",NA,NA,NA,NA,NA,NA,NA,NA,0.0163,0.1206,FALSE,"FEC","24.09.2022",60.1,2022,29.42,FALSE,NA,NA,NA,NA,"UNKNOWN",82.9574127197266,NA,NA,NA,29.7901254271596,29.136175533123,29.3353317551688,NA,NA,NA,NA,NA,36.41,36.3454076250136,38.0679729488855,34.8267058930597,83
"969","AA_1010","Wriezener Str.1",NA,52.7636,14.1628,"23/09/2022","24/09/2022","M","adult",13.16,73,61,0.0458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0673,2.125,TRUE,"FEC","25.09.2022",32.7,2022,24.13,TRUE,NA,NA,NA,NA,"UNKNOWN",75.7055816650391,NA,NA,NA,24.9283023722058,24.1261050091342,23.3256620754625,NA,NA,NA,NA,NA,33.13,33.1681757053646,33.012848612241,33.2204819978718,774
"970","AA_1011","Wriezener Str.1",NA,52.7636,14.1628,"23/09/2022","24/09/2022","M","adult ",9.55,78,58,0.0325,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0785,0.9575,TRUE,"FEC","25.09.2022",121.3,2022,31.08,TRUE,NA,NA,NA,NA,"UNKNOWN",75.5545043945312,NA,NA,NA,31.7287751032004,31.2333111251479,30.2899001971568,NA,NA,NA,NA,NA,0,NA,35.3969822592126,NA,0
"971","AA_1012","Wriezener Str.1",NA,52.7636,14.1628,"23/09/2022","24/09/2022","F","adult",11.64,71,61,0.0254,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0332,0.8688,TRUE,"FEC","25.09.2022",160.1,2022,26.29,TRUE,NA,NA,NA,NA,"UNKNOWN",75.5545043945312,NA,NA,NA,27.367267862045,25.9227009315785,25.5764568112589,NA,NA,NA,NA,NA,0,NA,NA,38.6855378972335,0
